x=1, n=13, |dx| = 0.5
2,1.2071155080887804937162153467496565000021809531931244415834467500e-1,3.9237382682636552605295716540971676894451984680861812686915284808e-2
3,8.8947570815238108192513739661491418740474647118701536497382581283e-3,2.6041145154749245438135994314352914491038876117132767777284966857e-3
4,3.7015977986448145644014247331123795044413776114982875309260899637e-4,9.6886666960625325675535220455562783872632804362394262252313710587e-5
5,8.6416981068009302685986102670423025546111313677974757167132920269e-6,1.9983374100143459460587341662318315167400152050263097921199926980e-6
6,1.0520376220728752996948400536924426130672911730930724480243639784e-7,2.1065934192106982896250658906701909726769655241099354755442827085e-8
7,5.5769894920311616295696083521472435118843287710191490075476610632e-10,9.3012604408416750570838894484703331272741020265464143252879005864e-11
8,7.9785541935264336335259965165908145866420103426315931289288665657e-13,9.9770658267909041327114186732364223278493102253175004714407093538e-14
relative error = 1.8752086524e-34

x=14, n=8, |dx| = 0.5
i,p_i,q_i
0,2.6029180902322222731486216650513527027129744191938315349493665202e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.2447294200079228274778939895821831528405288846796640944488923787e-1,2.8830437506000476894540395973209969853056847359797285367049177848e-1
2,1.0690639943142865955954139126046279796237547083491364825981527327e-1,3.3923464292437556129395611232776436083695223257766314753050284736e-2
3,7.3066925969558148816590098723653708834320412294485128231279489691e-3,2.0937102820854134727498066794854814041111062125062361294437955368e-3
4,2.8210798832719434357896177565545565676697504100981179883759576453e-4,7.2445550844808945763435996841385633533928205028063251091780752344e-5
5,6.1114135556962136094201391016146354069799374939209039908078348537e-6,1.3897623637569398427955646116780327068887488325060529066845192506e-6
6,6.9044307378554298550948626643418377474518610590288663955741899118e-8,1.3627219677742336963888456587642515381303817678836671076686359036e-8
7,3.3964122455758770896266484033274083749363468551079726901179405795e-10,5.5969556355370484543166480472614676355473795896306186996341583559e-11
8,4.5066152966549063699293478173718272386677471608218762242522205284e-13,5.5849986286945698376979186128259052348836110185499818019995653880e-14
relative error = 5.1931344177e-35

x=15, n=8, |dx| = 0.5
i,p_i,q_i
0,2.6743466616607937017200502364799241312844029906224029635207950917e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.8923306310528560623135132715502127275507259146977327763818650587e-1,2.6933487927488507748353643977513466247314204641070850841720235322e-1
2,9.5375041313785121902851712719540627892555376713436748401790649019e-2,2.9608305659262278748510167720550743211047228568351898564478047428e-2
3,6.0766087439937105127722338626021658453863680362168171084836879843e-3,1.7073837992870989823177042478516436731092588248028883895980270264e-3
4,2.1875067355915297485594792824318610226509724124699567618976983508e-4,5.5202059975398383278365714628314780046159064927860660468499044759e-5
5,4.4190382502349984710834761315179264302891501472021427672697967205e-6,9.8955385866993157846705373291514332302459660198537780217481597077e-7
6,4.6557558159638903425123002908667266469091523317831886384388948998e-8,9.0674742404895782678047461907138057639060763088354562293744007095e-9
7,2.1356116709992681631960052030903127647114483313455498539880891685e-10,3.4804427679046224007209688778673899504167292842069422922513657457e-11
8,2.6410855095337995209517249166663676143229826252696230738240514804e-13,3.2458701825955302441842059582354283627691107560063393086480071999e-14
relative error = 1.5661593233e-35

x=16, n=7, |dx| = 0.5
i,p_i,q_i
0,2.7410133283274603683867169031465907979510696572890696301874617583e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.7331077154358636743632221473517100084885450728457871659211668170e-1,2.2211383718876011488879297943873185159480626195995986989252716824e-1
2,6.5722910308153832448559367642785178834226040063947141810674928365e-2,1.9509921061292380825720207819717207969767913905549756470421020274e-2
3,3.2408749586813654841164405047224262533160178146240950116500882344e-3,8.5919146267006932708132059787042966646038995450100027149674922653e-4
4,8.4665061166457720179308492952786861981255048708264556054530953881e-5,1.9806304499499233759405482744959798661310149260064046480067021789e-5
5,1.1168411052834201474943338878650308417004719338852239762787484135e-6,2.2593032672270458036830941321369381680632200793686718072122617117e-7
6,6.3025815809416595568829059582759961008722690151573445654224181288e-9,1.0602172944102931672745384100811821233877393393857069005246321712e-9
7,9.5263821384593333117520737548448463394030197651878445805538784364e-12,1.1990015246379604911790321153694764334585148032359135093173630571e-12
relative error = 8.5427495363e-32

