x=1, n=9, |dx| = 0.5
2,2.9784870890592960640764344509778759720164558337442476472470806460e8,8.8682354471699218879825547422289202638191740948103186396759714215e-1
3,1.0113453963493409433192357646664452913818885913490742241498504316e8,-3.4524982067787260717870287387968690577075020790599628944347864689e-1
4,2.3504417624554399192983842877878696383413617055194222331844362217e7,8.9729708346272902166780492005493205974796096027924408206697579523e-2
5,3.8457315662939309697131795055732964370873202391575411048088746766e6,-1.6031131097758740999531507832504134711257677702388009786767878193e-2
6,4.3509368552796946084761138919644856240607973761176568760420075449e5,1.9353979667552005837356832338644981515432258972799736656185263266e-3
7,3.1347225084435757882428879401551507111701648153076366749392240149e4,-1.4549582988190161605256001215255602251085893059398587561328687359e-4
8,1.1112848867651944986499558546010399269268116918810116395800794927e3,5.2647350447016502321754759085515621066621567420395271456893037798e-6
relative error = 1.6732350321e-17

x=14, n=8, |dx| = 0.5
i,p_i,q_i
0,6.2270208000000000000000000000000000000000000000000000000000000000e9,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.4225447209511662448862010681073755502060897837218614823245030882e9,-1.4109283796869858986553485627505902658497332070042301316066150253e0
2,4.2011354263241553759781142074966918903096695151741584994277626288e9,9.2258175670584709192809504852267533348768252369929411648630683829e-1
3,1.4788240951265978914369773645474662697960259170871396020908654646e9,-3.6669296876593442807943385586633214596230709620852539925000384667e-1
4,3.5543381036163032768388770869091435775281588776896142893033684339e8,9.7367290845389103821204380999379902788960970743576699806945082945e-2
5,6.0018838239738967655603389864431707729954924809921935846422172745e7,-1.7786028807075054835469882541913421355548312524488036342864360096e-2
6,6.9955372709473837841521728889258415951980003098933551975703609543e6,2.1972553644106930976921792876894305631560967341885348345848252819e-3
7,5.1843511301574387567763915278661552847832875547849047667524552380e5,-1.6917822627408166002120967484284209861786158980196841076342744053e-4
8,1.8879186297279505643818734053152079296398490712882732275082437281e4,6.2759219060570259275834858298137026039312399263717030302076237920e-6
relative error = 2.6394270503e-17

x=15, n=8, |dx| = 0.5
i,p_i,q_i
0,8.7178291200000000000000000000000000000000000000000000000000000000e10,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0786484638610384804020322640541100803104280882732254452144989547e11,-1.4370564498275999806643750088676282845054882781105506490600833926e0
2,6.3198516784482439652963193464269447500619064894119630405079743073e10,9.5758708011124615350889517270779394762045350638210212763994139685e-1
3,2.2976573088381677486942205871081936447198139280656956539922967824e10,-3.8808978990835905982641745384415007336902018447281805116767623138e-1
4,5.6927153619203513837205796396709537395188926422529232761628461474e9,1.0514008683805512212406858044403637634595215362494409947852102205e-1
5,9.8927556001985822349004475068603375437439939454663757846991249786e8,-1.9608709080440382873165915196032988969694848285651956376206001918e-2
6,1.1849127032285310344465709285816919316581468910569741460521392354e8,2.4750079835257653748408080213010536591092254063558581870647505188e-3
7,9.0122731846985557553918735424471864957636363847639598876120873703e6,-1.9485107180416261527397395287988160161568455045217793984400152148e-4
8,3.3643143970473890202081034120172459131905896883881152692569854222e5,7.3971173073523727645675023105177523406832055228406749451663914189e-6
relative error = 4.0112343442e-17

x=16, n=8, |dx| = 0.5
i,p_i,q_i
0,1.3076743680000000000000000000000000000000000000000000000000000000e12,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6723187570977896833182121789773300133115968891845289547862613632e12,-1.4621637935954393127302890033704517176509219608982438716556088474e0
2,1.0106124836227432340129682388688537040127335352902920451387082085e12,9.9181843487534921468660327208529865200747217320296536702738514268e-1
3,3.7829086141833623926467865407821973879940160737279261450075933438e11,-4.0939323440797169900264217244792001824635634216472233214473401389e-1
4,9.6349580547267057332238481414059345015760623430820426189402748105e10,1.1302353537853245082431126004051883821763672060400810153828445589e-1
5,1.7188812780871204553644917977321834598901818608364389847004662331e10,-2.1492926049078213628489925349355395507119438740549084823331323259e-2
6,2.1109980910494603968935029858902020575171237290163926362578576392e9,2.7678409602899977245114164762489445004048850996820278955467809779e-3
7,1.6445156638707274512826070996504429356575907167343863577151807185e8,-2.2247312748534995846157545187576682763760307419969839732209651071e-4
8,6.2817050528982757363268070748592934103621912142938254603652219992e6,8.6290394795588689270400026659398609928021136976032078642116384860e-6
relative error = 5.9008329827e-17

